epoch,acc,loss,val_acc,val_loss
0,0.543434019215,1.02771365063,0.593652896642,0.917122901513
1,0.603905305641,0.893215613404,0.611538697947,0.876694350206
2,0.612042355001,0.876676811086,0.618613799167,0.86352443135
3,0.625830607328,0.845743392365,0.620485013203,0.860301218002
4,0.633366682824,0.829172511313,0.622281105535,0.853311546123
5,0.640076419291,0.814626708798,0.625087926588,0.848309599603
6,0.64466908877,0.803979030656,0.626515239483,0.853328176758
7,0.64914736835,0.795022925545,0.626610848932,0.850236399384
8,0.653115161613,0.78697207997,0.625654754178,0.852132299808
9,0.655703446721,0.780338724654,0.62426158751,0.857471053557
